帕克索尔语词汇,IPA音标,TTS友好发音拼写
tolerans,/tɔlɛˈrɑːns/,toh-leh-raans
förlåtelse,/fœrˈloːtɛlsɛ/,fuhr-loh-tel-seh
tacksamhet,/ˈtakːsɑmheːt/,tak-sam-hayt
ödmjukhet,/ˈødːmjɵkheːt/,uhdm-yuhk-hayt
stolthet,/ˈstuːlt heːt/,stoolt hayt
svartsjuka,/ˈsvɑːʈːˌɧʉːkɑ/,svaart-shuuh-kah
avund,/aˈvɵnːd/,ah-vuhnd
girighet,/jɪrɪˈeːt/,yi-ree-ayt
generositet,/dʒɛnɛrɔsiˈteːt/,jeh-neh-roh-see-tayt
själviskhet,/ˈɕɛːlˌvɪskheːt/,shayl-visk-hayt
oegennyttighet,/ʊʔɛjɛnˌnyːtɪheːt/,uh-eh-yen-nyuht-ih-hayt
ärlighet,/ˈærːlɪheːt/,air-lih-hayt
bedrägeri,/bɛˈdræːjɛri/,beh-dray-yeh-ree
förräderi,/fœrˈræːdɛri/,fuhr-ray-deh-ree
lojalitet,/lɔjaliˈteːt/,loy-ah-lee-tayt
pålitlig,/ˈpoːlɪtˌliːj/,pohl-it-leej
tillit,/ˈtɪlːɪt/,til-it
misstänksamhet,/ˈmɪsˌtɛnːskɑmheːt/,mis-ten-skaam-hayt
tro,/truː/,troo
tro,/truː/,troo
hopp,/hɔp/,hop
förtvivlan,/ˈfœrtˌviːvˌlɑːn/,fuirt-veev-laahn
optimism,/ɔpˈtɪmɪsm/,op-tih-mism
pessimism,/pɛsɪˈmɪsm/,peh-sih-mism
realism,/reˈaːlɪsm/,reh-aal-ism
idealism,/ideˈaːlɪsm/,ih-deh-aal-ism
pragmatism,/praɣˈmɑːtɪsm/,prahg-maa-tism
nihilism,/nɪˈhiːlɪsm/,nih-hee-lism
existentialism,/ɛkˌsɪstɛnˈɧɑːlɪsm/,ek-sis-ten-shaal-ism
fenomenologi,/fɛnʊmeˈnoːluːji/,feh-noo-meh-noh-loo-yee
hermeneutik,/hɛrmɛˈnøːtɪk/,her-meh-nuh-tik
strukturalism,/strykˈtuːrɑlɪsm/,stryk-too-rah-lism
poststrukturalism,/pɔststrykˈtuːrɑlɪsm/,post-stryk-too-rah-lism
dek
